================================================================================================
(A) RACE / TOCTOU MATRIX — vehicle/driver reservation write paths
================================================================================================
write path                             fconf fdrv  fmnt  vlock VEH-SAFE DRV-CHK
------------------------------------------------------------------------------------------------
bookings.create_booking                Y     Y     Y     Y     SAFE     Y      
bookings.create_group_booking          Y     Y     Y     Y     SAFE     Y      
bookings.confirm_booking               Y     Y     Y     Y     SAFE     Y      
bookings.reschedule_booking            Y     Y     Y     Y     SAFE     Y      
bookings.approve_booking               Y     Y     Y     Y     SAFE     Y      
bookings.update_booking(PATCH driver)  -     Y     -     -     RISK     Y      
dispatch.assign_trip                   Y     Y     -     -     RISK     Y      
quotations.convert                     Y     -     Y     -     RISK     NO     
subcharters.create                     -     -     -     -     RISK     NO     
subcharters.update(PATCH)              -     -     -     -     RISK     NO     
public.create_public_booking           -     -     -     -     RISK     NO     
driver.checkin                         -     -     -     -     RISK     NO     

VEHICLE double-book RISK (no vehicle_lock around re-check): ['bookings.update_booking(PATCH driver)', 'dispatch.assign_trip', 'quotations.convert', 'subcharters.create', 'subcharters.update(PATCH)', 'public.create_public_booking', 'driver.checkin']
DRIVER conflict NOT checked: ['quotations.convert', 'subcharters.create', 'subcharters.update(PATCH)', 'public.create_public_booking', 'driver.checkin']

================================================================================================
(B) NEGATIVE-VALUE MATRIX — money/quantity schema fields
================================================================================================
model.field                                   type                   bounded 
   - VehicleCreate.last_service_odometer (Optional[float])
   - VehicleCreate.price_from (Optional[float])
   - VehicleUpdate.capacity (Optional[int])
   - VehicleUpdate.odometer (Optional[float])
   - VehicleUpdate.service_interval_days (Optional[int])
   - VehicleUpdate.last_service_odometer (Optional[float])
   - VehicleUpdate.price_from (Optional[float])
   - QuotationCreate.pax (Optional[int])
   - TripEstimateRequest.pax (Optional[int])
   - TripEstimateRequest.days (Optional[int])
   - TripEstimateRequest.distance_km (Optional[float])
   - PublicBookingCreate.pax (Optional[int])
   - PricingQuoteRequest.days (Optional[int])
   - PricingQuoteRequest.distance_km (Optional[float])
   - QuotationDraftCreate.pax (Optional[int])
   - QuotationDraftCreate.days (Optional[int])
   - QuotationDraftCreate.distance_km (Optional[float])
   - QuotationDraftCreate.valid_days (Optional[int])
   - QuotationDraftUpdate.pax (Optional[int])
   - LeadCreate.pax (Optional[int])
   - LeadCreate.value (Optional[float])
   - LeadUpdate.pax (Optional[int])
   - LeadUpdate.value (Optional[float])
   - InvoiceCreate.amount (Optional[float])
   - MaintenanceCreate.odometer (Optional[float])
   - MaintenanceCreate.cost (Optional[float])
   - MaintenanceUpdate.odometer (Optional[float])
   - MaintenanceUpdate.cost (Optional[float])
   - MaintenanceComplete.odometer (Optional[float])
   - MaintenanceComplete.cost (Optional[float])
   - ShareCreate.hours (Optional[int])
   - WaConfigUpdate.price_per_message (Optional[float])
   - WaConfigUpdate.session_hours (Optional[int])
   - SequenceStep.delay_hours (Optional[float])
   - GrowthConfigUpdate.sla_first_response_hours (Optional[float])
   - GrowthConfigUpdate.at_risk_days (Optional[int])
   - GrowthConfigUpdate.churn_days (Optional[int])
   - MarketingSpendItem.amount (float)
   - ServiceTypeCreate.default_interval_days (Optional[int])
   - ServiceTypeUpdate.default_interval_days (Optional[int])
   - DriverCompUpdate.base_salary_monthly (Optional[float])
   - DriverCompUpdate.commission_per_trip (Optional[float])
   - DriverCompUpdate.commission_pct_revenue (Optional[float])
   - DriverCompUpdate.allowance_per_km (Optional[float])
   - PayoutLineIn.amount (float)
   - SubcharterUpdate.cost (Optional[float])

Wrote /app/scripts/audit_r11/root_cause_matrix.json
